cve,links,cwe,cne,cvss2score
CVE-2010-5331,"['https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2010-5331', 'https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=0031c41be5c529f8329e327b63cde92ba1284842', 'https://github.com/torvalds/linux/commit/0031c41be5c529f8329e327b63cde92ba1284842']","('CWE-193', 'Off-by-one Error')",MITRE,NVD-CVSS2-Other
CVE-2018-8796,['https://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1'],"('CWE-126', 'Buffer Over-read')",Check Point Software Technologies Ltd.,NVD-CVSS2-Other
CVE-2019-20788,"['https://cert-portal.siemens.com/productcert/pdf/ssa-390195.pdf', 'https://github.com/LibVNC/libvncserver/commit/54220248886b5001fbbb9fa73c4e1a2cb9413fed']","('CWE-190', 'Integer Overflow or Wraparound')",MITRE,NVD-CVSS2-Other
CVE-2022-29206,"['https://github.com/tensorflow/tensorflow/commit/11ced8467eccad9c7cb94867708be8fa5c66c730', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-rc9w-5c64-9vqq']","('CWE-20', 'Improper Input Validation')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2022-40673,['https://github.com/JonMagon/KDiskMark/commit/3c90083a4f5ba3f240a797e509d818221542bbdc'],"('CWE-862', 'Missing Authorization')",MITRE,NVD-CVSS2-Other
CVE-2016-5769,['http://php.net/ChangeLog-5.php'],"('CWE-190', 'Integer Overflow or Wraparound')",MITRE,NVD-CVSS2-Other
CVE-2017-5509,"['http://www.openwall.com/lists/oss-security/2017/01/16/6', 'http://www.openwall.com/lists/oss-security/2017/01/17/5', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=851377', 'https://github.com/ImageMagick/ImageMagick/commit/d4ec73f866a7c42a2e7f301fcd696e5cb7a7d3ab', 'https://github.com/ImageMagick/ImageMagick/issues/350']","('CWE-787', 'Out-of-bounds Write')",Debian GNU/Linux,NVD-CVSS2-Other
CVE-2020-14398,"['https://cert-portal.siemens.com/productcert/pdf/ssa-390195.pdf', 'https://github.com/LibVNC/libvncserver/commit/57433015f856cc12753378254ce4f1c78f5d9c7b']","('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")",MITRE,NVD-CVSS2-Other
CVE-2017-0196,['https://github.com/Microsoft/ChakraCore/commit/065b7978c40ded35c356ced6cd922a40156c9c46'],"('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",Microsoft Corporation,NVD-CVSS2-Other
CVE-2017-7471,"['http://www.openwall.com/lists/oss-security/2017/04/19/2', 'https://bugzilla.redhat.com/show_bug.cgi?id=CVE-2017-7471']","('CWE-732', 'Incorrect Permission Assignment for Critical Resource')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-7718,"['http://git.qemu-project.org/?p=qemu.git;a=commit;h=215902d7b6fb50c6fc216fc74f770858278ed904', 'http://www.openwall.com/lists/oss-security/2017/04/19/4', 'https://bugzilla.redhat.com/show_bug.cgi?id=1443441']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2017-6499,"['https://github.com/ImageMagick/ImageMagick/commit/3358f060fc182551822576b2c0a8850faab5d543', 'https://www.imagemagick.org/discourse-server/viewtopic.php?f=23&p=142634']","('CWE-772', 'Missing Release of Resource after Effective Lifetime')",MITRE,NVD-CVSS2-Other
CVE-2018-11232,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=f09444639099584bc4784dfcd85ada67c6f33e0f', 'https://github.com/torvalds/linux/commit/f09444639099584bc4784dfcd85ada67c6f33e0f']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2013-4511,"['https://github.com/torvalds/linux/commit/7314e613d5ff9f0934f7a0f74ed7973b903315d1', 'https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.12.bz2']","('CWE-189', 'Numeric Errors')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-6512,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=2193bea3212d74e2a907152055e27d409b59485e'],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2019-15214,"['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=2a3f7221acddfe1caa9ff09b3a8158c39b2fdeac', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=8c2f870890fd28e023b0fcf49dcee333f2c8bad7']","('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2019-15918,['https://github.com/torvalds/linux/commit/b57a55e2200ede754e4dc9cce4ba9402544b9365'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2015-2270,[],"('CWE-17', 'DEPRECATED: Code')",MITRE,NVD-CVSS2-Other
CVE-2017-17083,[],"('CWE-754', 'Improper Check for Unusual or Exceptional Conditions')",MITRE,NVD-CVSS2-Other
CVE-2018-1000864,[],"('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")",MITRE,NVD-CVSS2-Other
CVE-2016-2841,[],"('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-25044,"['https://github.com/espruino/Espruino/commit/e069be2ecc5060ef47391716e4de94999595b260', 'https://github.com/espruino/Espruino/issues/2142']","('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2019-19526,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=6af3aa57a0984e061f61308fe181a9a12359fecc'],"('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2014-3615,"['http://git.qemu.org/?p=qemu.git;a=commit;h=ab9509cceabef28071e41bdfa073083859c949a7', 'http://git.qemu.org/?p=qemu.git;a=commitdiff;h=c1b886c45dc70f247300f549dce9833f3fa2def5', 'https://bugzilla.redhat.com/show_bug.cgi?id=1139115']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-2562,"['https://github.com/phpmyadmin/phpmyadmin/commit/e42b7e3aedd29dd0f7a48575f20bfc5aca0ff976', 'https://www.phpmyadmin.net/security/PMASA-2016-13/']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2020-15476,"['https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=21780', 'https://github.com/ntop/nDPI/commit/b69177be2fbe01c2442239a61832c44e40136c05']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2021-41205,['https://github.com/tensorflow/tensorflow/commit/7cf73a2274732c9d82af51c2bc2cf90d13cd7e6d'],"('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-5689,[],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2021-41222,"['https://github.com/tensorflow/tensorflow/commit/25d622ffc432acc736b14ca3904177579e733cc6', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-cpf4-wx82-gxp6']","('CWE-682', 'Incorrect Calculation')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-10150,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=a0f1d21c1ccb1da66629627a74059dd7f5ac9c61', 'http://www.openwall.com/lists/oss-security/2017/01/18/10', 'https://bugzilla.redhat.com/show_bug.cgi?id=1414506', 'https://github.com/torvalds/linux/commit/a0f1d21c1ccb1da66629627a74059dd7f5ac9c61']","('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-1852,['https://github.com/torvalds/linux/commit/fee060cd52d69c114b62d1a2948ea9648b5131f9'],"('CWE-476', 'NULL Pointer Dereference')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2018-10938,[],"('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-2584,[],"('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-2053,['https://github.com/torvalds/linux/commit/0d62e9dd6da45bbf0f33a8617afc5fe774c8f45f'],"('CWE-310', 'Cryptographic Issues')",MITRE,NVD-CVSS2-Other
CVE-2018-9989,"['https://github.com/ARMmbed/mbedtls/commit/5224a7544c95552553e2e6be0b4a789956a6464e', 'https://github.com/ARMmbed/mbedtls/commit/740b218386083dc708ce98ccc94a63a95cd5629e']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2016-9922,"['http://www.openwall.com/lists/oss-security/2016/12/09/1', 'https://bugzilla.redhat.com/show_bug.cgi?id=1334398', 'https://lists.gnu.org/archive/html/qemu-devel/2016-12/msg00442.html']","('CWE-369', 'Divide By Zero')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2021-29563,"['https://github.com/tensorflow/tensorflow/commit/31bd5026304677faa8a0b77602c6154171b9aec1', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-ph87-fvjr-v33w']","('CWE-617', 'Reachable Assertion')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2014-4667,"['http://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=d3217b15a19a4779c39b212358a5c71d725822ee', 'https://github.com/torvalds/linux/commit/d3217b15a19a4779c39b212358a5c71d725822ee']","('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2017-18017,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=2638fd0f92d4397884fd991d8f4925cb3f081901', 'http://patchwork.ozlabs.org/patch/746618/', 'https://github.com/torvalds/linux/commit/2638fd0f92d4397884fd991d8f4925cb3f081901']","('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2020-8936,['https://github.com/google/asylo/commit/83036fd841d33baa7e039f842d131aa7881fdcc2'],"('CWE-125', 'Out-of-bounds Read')",Google Inc.,NVD-CVSS2-Other
CVE-2017-9501,"['https://github.com/ImageMagick/ImageMagick/commit/01843366d6a7b96e22ad7bb67f3df7d9fd4d5d74', 'https://github.com/ImageMagick/ImageMagick/issues/491']","('CWE-617', 'Reachable Assertion')",MITRE,NVD-CVSS2-Other
CVE-2019-9718,"['https://git.ffmpeg.org/gitweb/ffmpeg.git/commit/1f00c97bc3475c477f3c468cf2d924d5761d0982', 'https://github.com/FFmpeg/FFmpeg/commit/23ccf3cabb4baf6e8af4b1af3fcc59c904736f21']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2015-4041,"['http://openwall.com/lists/oss-security/2015/05/15/1', 'https://github.com/pixelb/coreutils/commit/bea5e36cc876ed627bb5e0eca36fdfaa6465e940']","('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2014-4345,[],"('CWE-189', 'Numeric Errors')",MITRE,NVD-CVSS2-Other
CVE-2017-8070,"['http://www.openwall.com/lists/oss-security/2017/04/16/4', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=2d6a0e9de03ee658a9adc3bfb2f0ca55dff1e478', 'https://github.com/torvalds/linux/commit/2d6a0e9de03ee658a9adc3bfb2f0ca55dff1e478']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2017-5522,['https://github.com/mapserver/mapserver/commit/e52a436c0e1c5e9f7ef13428dba83194a800f4df'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2021-21413,"['https://github.com/laverdet/isolated-vm/commit/2646e6c1558bac66285daeab54c7d490ed332b15', 'https://github.com/laverdet/isolated-vm/commit/27151bfecc260e96714443613880e3b2e6596704']","('CWE-913', 'Improper Control of Dynamically-Managed Code Resources')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2021-42780,"['https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=28383', 'https://bugzilla.redhat.com/show_bug.cgi?id=2016139', 'https://github.com/OpenSC/OpenSC/commit/5df913b7']","('CWE-252', 'Unchecked Return Value')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-0714,['https://github.com/vim/vim/commit/4e889f98e95ac05d7c8bd3ee933ab4d47820fdfa'],"('CWE-122', 'Heap-based Buffer Overflow')",huntr.dev,NVD-CVSS2-Other
CVE-2022-0525,['https://github.com/mruby/mruby/commit/0849a2885f81cfd82134992c06df3ccd59052ac7'],"('CWE-125', 'Out-of-bounds Read')",huntr.dev,NVD-CVSS2-Other
CVE-2022-1616,"['https://github.com/vim/vim/commit/d88934406c5375d88f8f1b65331c9f0cab68cc6c', 'https://huntr.dev/bounties/40f1d75f-fb2f-4281-b585-a41017f217e2']","('CWE-416', 'Use After Free')",huntr.dev,NVD-CVSS2-Other
CVE-2016-4440,[],"('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2022-3202,['https://github.com/torvalds/linux/commit/a53046291020ec41e09181396c1e829287b48d47'],"('CWE-476', 'NULL Pointer Dereference')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-9454,['https://github.com/resiprocate/resiprocate/commit/d67a9ca6fd06ca65d23e313bdbad1ef4dd3aa0df'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2018-10538,['https://github.com/dbry/WavPack/commit/6f8bb34c2993a48ab9afbe353e6d0cff7c8d821d'],"('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2020-19488,['https://github.com/gpac/gpac/commit/6170024568f4dda310e98ef7508477b425c58d09'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2013-2546,[],"('CWE-310', 'Cryptographic Issues')",MITRE,NVD-CVSS2-Other
CVE-2018-7420,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=129e41f9f63885ad8224ef413c2860788fb9e849'],"('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2018-7751,['https://git.ffmpeg.org/gitweb/ffmpeg.git/commit/a6cba062051f345e8ebfdff34aba071ed73d923f'],"('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")",MITRE,NVD-CVSS2-Other
CVE-2011-2496,['https://github.com/torvalds/linux/commit/982134ba62618c2d69fbbbd166d0a11ee3b7e3d8'],"('CWE-189', 'Numeric Errors')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2020-12657,"['https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=2f95fa5c955d0a9987ffdc3a095e2f4e62c5f2a9', 'https://github.com/torvalds/linux/commit/2f95fa5c955d0a9987ffdc3a095e2f4e62c5f2a9', 'https://patchwork.kernel.org/patch/11447049/']","('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2017-11411,"['https://bugs.wireshark.org/bugzilla/show_bug.cgi?id=13755', 'https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=a83a324acdfc07a0ca8b65e6ebaba3374ab19c76']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2014-6432,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=47c592938ba9f0caeacc4c2ccadb370e72f293a2'],"('CWE-399', 'Resource Management Errors')",MITRE,NVD-CVSS2-Other
CVE-2017-11328,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2018-20175,['https://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1'],"('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2014-2829,['https://github.com/esl/MongooseIM/commit/586d96cc12ef218243a3466354b4d208b5472a6c'],"('CWE-264', 'Permissions, Privileges, and Access Controls')",MITRE,NVD-CVSS2-Other
CVE-2018-8794,['https://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1'],"('CWE-680', 'Integer Overflow to Buffer Overflow')",Check Point Software Technologies Ltd.,NVD-CVSS2-Other
CVE-2020-27678,['https://github.com/illumos/illumos-gate/commit/1d276e0b382cf066dae93640746d8b4c54d15452'],"('CWE-120', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"")",MITRE,NVD-CVSS2-Other
CVE-2011-0986,"['http://phpmyadmin.git.sourceforge.net/git/gitweb.cgi?p=phpmyadmin/phpmyadmin;a=commit;h=035d002db1e1201e73e560d7d98591563b506a83', 'http://www.phpmyadmin.net/home_page/security/PMASA-2011-1.php']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2015-6247,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=828358d22c6bcf0a1ade5b3ffaa8018a385bfc6c'],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2022-31031,"['https://github.com/pjsip/pjproject/commit/450baca94f475345542c6953832650c390889202', 'https://github.com/pjsip/pjproject/security/advisories/GHSA-26j7-ww69-c4qj']","('CWE-120', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"")","GitHub, Inc.",NVD-CVSS2-Other
CVE-2019-20054,"['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=23da9588037ecdd4901db76a5b79a42b529c4ec3', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=89189557b47b35683a27c80ee78aef18248eefb4']","('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2020-15852,"['http://xenbits.xen.org/xsa/advisory-329.html', 'https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=cadfad870154e14f745ec845708bc17d166065f2', 'https://github.com/torvalds/linux/commit/cadfad870154e14f745ec845708bc17d166065f2']","('CWE-276', 'Incorrect Default Permissions')",MITRE,NVD-CVSS2-Other
CVE-2019-13619,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=7e90aed666e809c0db5de9d1816802a7dcea28d9'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2021-29607,"['https://github.com/tensorflow/tensorflow/commit/ba6822bd7b7324ba201a28b2f278c29a98edbef2', 'https://github.com/tensorflow/tensorflow/commit/f6fde895ef9c77d848061c0517f19d0ec2682f3a', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-gv26-jpj9-c8gq']","('CWE-754', 'Improper Check for Unusual or Exceptional Conditions')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2021-3609,['https://github.com/torvalds/linux/commit/d5f9023fa61ee8b94f37a93f08e94b136cf1e463'],"('CWE-362', ""Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"")","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2021-29589,"['https://github.com/tensorflow/tensorflow/commit/8e45822aa0b9f5df4b4c64f221e64dc930a70a9d', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-3w67-q784-6w7c']","('CWE-369', 'Divide By Zero')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2022-1886,"['https://github.com/vim/vim/commit/2a585c85013be22f59f184d49612074fd9b115d7', 'https://huntr.dev/bounties/fa0ad526-b608-45b3-9ebc-f2b607834d6a']","('CWE-122', 'Heap-based Buffer Overflow')",huntr.dev,NVD-CVSS2-Other
CVE-2021-41203,"['https://github.com/tensorflow/tensorflow/commit/368af875869a204b4ac552b9ddda59f6a46a56ec', 'https://github.com/tensorflow/tensorflow/commit/abcced051cb1bd8fb05046ac3b6023a7ebcc4578', 'https://github.com/tensorflow/tensorflow/commit/b619c6f865715ca3b15ef1842b5b95edbaa710ad', 'https://github.com/tensorflow/tensorflow/commit/e8dc63704c88007ee4713076605c90188d66f3d2']","('CWE-345', 'Insufficient Verification of Data Authenticity')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-10048,['https://github.com/ImageMagick/ImageMagick/commit/fc6080f1321fd21e86ef916195cc110b05d9effb'],"('CWE-22', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"")",MITRE,NVD-CVSS2-Other
CVE-2015-2923,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=6fd99094de2b83d1d4c8457f2c83483b2828e75a'],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2022-2639,"['https://bugzilla.redhat.com/show_bug.cgi?id=2084479', 'https://github.com/torvalds/linux/commit/cefa91b2332d7009bc0be5d951d6cbbf349f90f8']","('CWE-192', 'Integer Coercion Error')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-10249,"['https://blogs.gentoo.org/ago/2016/10/23/jasper-heap-based-buffer-overflow-in-jpc_dec_tiledecode-jpc_dec-c/', 'https://github.com/mdadams/jasper/commit/988f8365f7d8ad8073b6786e433d34c553ecf568']","('CWE-190', 'Integer Overflow or Wraparound')",MITRE,NVD-CVSS2-Other
CVE-2017-18551,['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=89c6efa61f5709327ecfa24bff18e57a4e80c7fa'],"('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2018-20742,"['https://github.com/ucbrise/opaque/commit/5ddda15d89f5ac82f4416208c5319ace4aecdc36', 'https://github.com/ucbrise/opaque/issues/66']","('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2018-8784,['https://github.com/FreeRDP/FreeRDP/commit/17c363a5162fd4dc77b1df54e48d7bd9bf6b3be7'],"('CWE-120', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"")",Check Point Software Technologies Ltd.,NVD-CVSS2-Other
CVE-2021-29553,"['https://github.com/tensorflow/tensorflow/commit/99085e8ff02c3763a0ec2263e44daec416f6a387', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-h9px-9vqg-222h']","('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-1000004,['https://github.com/facebook/hhvm/commit/8e7266fef1f329b805b37f32c9ad0090215ab269'],"('CWE-345', 'Insufficient Verification of Data Authenticity')",MITRE,NVD-CVSS2-Other
CVE-2017-11142,"['https://github.com/php/php-src/commit/0f8cf3b8497dc45c010c44ed9e96518e11e19fc3', 'https://github.com/php/php-src/commit/a15bffd105ac28fd0dd9b596632dbf035238fda3']","('CWE-400', 'Uncontrolled Resource Consumption')",MITRE,NVD-CVSS2-Other
CVE-2011-1180,['http://git.kernel.org/?p=linux/kernel/git/torvalds/linux-2.6.git;a=commit;h=d370af0ef7951188daeb15bae75db7ba57c67846'],"('CWE-787', 'Out-of-bounds Write')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-3178,"['http://speirofr.appspot.com/files/advisory/SPADV-2016-02.md', 'http://www.openwall.com/lists/oss-security/2016/03/16/13', 'https://bugs.debian.org/cgi-bin/bugreport.cgi?bug=816759', 'https://github.com/miniupnp/miniupnp/commit/b238cade9a173c6f751a34acf8ccff838a62aa47']","('CWE-125', 'Out-of-bounds Read')",MITRE,NVD-CVSS2-Other
CVE-2016-6129,"['https://bugzilla.redhat.com/show_bug.cgi?id=1370955', 'https://github.com/libtom/libtomcrypt/commit/5eb9743410ce4657e9d54fef26a2ee31a1b5dd0']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2016-2042,"['http://www.phpmyadmin.net/home_page/security/PMASA-2016-6.php', 'https://github.com/phpmyadmin/phpmyadmin/commit/5a3de108f26e4b0dddadddbe8ccdb1dd5526771f']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,NVD-CVSS2-Other
CVE-2017-11462,"['https://bugzilla.redhat.com/show_bug.cgi?id=1488873', 'https://github.com/krb5/krb5/commit/56f7b1bc95a2a3eeb420e069e7655fb181ade5cf']","('CWE-415', 'Double Free')",MITRE,NVD-CVSS2-Other
CVE-2016-6250,"['https://github.com/libarchive/libarchive/commit/3014e198', 'https://github.com/libarchive/libarchive/issues/711']","('CWE-190', 'Integer Overflow or Wraparound')",MITRE,NVD-CVSS2-Other
CVE-2016-4998,['https://github.com/torvalds/linux/commit/6e94e0cfb0887e4013b3b930fa6ab1fe6bb6ba91'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-7418,"['http://bugs.proftpd.org/show_bug.cgi?id=4295', 'https://github.com/proftpd/proftpd/commit/ecff21e0d0e84f35c299ef91d7fda088e516d4ed', 'https://github.com/proftpd/proftpd/commit/f59593e6ff730b832dbe8754916cb5c821db579f', 'https://github.com/proftpd/proftpd/pull/444/commits/349addc3be4fcdad9bd4ec01ad1ccd916c898ed8']","('CWE-59', ""Improper Link Resolution Before File Access ('Link Following')"")",MITRE,NVD-CVSS2-Other
CVE-2018-17082,['https://github.com/php/php-src/commit/23b057742e3cf199612fa8050ae86cae675e214e'],"('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")",MITRE,NVD-CVSS2-Other
CVE-2018-9918,"['https://github.com/qpdf/qpdf/commit/b4d6cf6836ce025ba1811b7bbec52680c7204223', 'https://github.com/qpdf/qpdf/issues/202']","('CWE-674', 'Uncontrolled Recursion')",MITRE,NVD-CVSS2-Other
CVE-2019-17055,"['https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=0edc3f703f7bcaf550774b5d43ab727bcd0fe06b', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=b91ee4aa2a2199ba4d4650706c272985a5a32d80']","('CWE-862', 'Missing Authorization')",MITRE,NVD-CVSS2-Other
CVE-2015-3815,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
CVE-2012-2386,[],"('CWE-189', 'Numeric Errors')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2021-32435,['https://github.com/leesavide/abcm2ps/commit/3169ace6d63f6f517a64e8df0298f44a490c4a15'],"('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2014-7842,[],"('CWE-362', ""Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"")","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2019-13305,"['https://github.com/ImageMagick/ImageMagick/commit/29efd648f38b73a64d73f14cd2019d869a585888', 'https://github.com/ImageMagick/ImageMagick/issues/1613', 'https://github.com/ImageMagick/ImageMagick6/commit/5c7fbf9a14fb83c9685ad69d48899f490a37609d']","('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2022-1927,"['https://github.com/vim/vim/commit/4d97a565ae8be0d4debba04ebd2ac3e75a0c8010', 'https://huntr.dev/bounties/945107ef-0b27-41c7-a03c-db99def0e777']","('CWE-126', 'Buffer Over-read')",huntr.dev,NVD-CVSS2-Other
CVE-2016-3955,['https://github.com/torvalds/linux/commit/b348d7dddb6c4fbfc810b7a0626e8ec9e29f7cbb'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,NVD-CVSS2-Other
